,Player_ID,Year,TeamA,TeamB,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Match_Date,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
167,125049,2021,Brazil,Argentina,0,0,0,0,28/05/2021,0,0,1,1,0,0,0,0,0,0,0,0,8,0,19,27,6,2,0,8
168,125047,2021,Iran,Argentina,1,3,21,25,23/06/2021,0,0,1,1,10,1,3,14,3,6,1,10,0,0,1,1,3,0,1,4
169,125047,2021,France,Argentina,0,2,9,11,22/06/2021,0,0,0,0,3,2,2,7,0,2,3,5,0,0,1,1,1,0,0,1
170,125047,2021,Poland,Argentina,0,2,9,11,21/06/2021,0,0,0,0,8,0,2,10,0,5,5,10,1,0,2,3,3,3,2,8
171,125047,2021,Argentina,Serbia,0,1,12,13,17/06/2021,0,0,1,1,6,3,2,11,2,7,2,11,1,0,0,1,0,0,1,1
172,125047,2021,Argentina,Russia,0,0,0,0,16/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,125047,2021,Argentina,Bulgaria,0,0,0,0,15/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,125047,2021,Japan,Argentina,0,0,0,0,11/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,125047,2021,Argentina,Australia,1,2,6,9,10/06/2021,0,0,0,0,5,0,6,11,4,4,0,8,1,0,0,1,2,0,0,2
176,125047,2021,Argentina,Italy,0,0,1,1,09/06/2021,0,0,0,0,1,1,1,3,0,2,0,2,0,0,1,1,1,0,0,1
177,125047,2021,Netherlands,Argentina,0,0,0,0,05/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
