No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
14.0,Štern Žiga,OH,155920,2022,Slovenia,Slovenia,29.0,193,53,4.42,50,45.45%,4.17,3,18.75%,0.25,0,0.00%,0.00
15.0,Videčnik Matic,MB,161754,2022,Slovenia,Slovenia,29.0,203,5,0.62,3,50.00%,0.38,1,20.00%,0.12,1,7.14%,0.12
16.0,Ropret Gregor,S,119018,2022,Slovenia,Slovenia,34.0,192,14,1.17,4,50.00%,0.33,5,18.52%,0.42,5,4.20%,0.42
17.0,Urnaut Tine,OH,114957,2022,Slovenia,Slovenia,34.0,200,55,6.88,46,43.81%,5.75,3,17.65%,0.38,6,10.00%,0.75
18.0,Čebulj Klemen,OH,136918,2022,Slovenia,Slovenia,31.0,202,45,11.25,39,43.82%,9.75,3,21.43%,0.75,3,5.66%,0.75
19.0,Možič Rok,OH,168747,2022,Slovenia,Slovenia,21.0,200,141,11.75,123,48.62%,10.25,15,27.78%,1.25,3,2.78%,0.25
20.0,Mujanovič Nik,O,182325,2022,Slovenia,Slovenia,18.0,206,-,-,-,-,-,-,-,-,-,-,-
21.0,Pernuš Gregor,S,181130,2022,Slovenia,Slovenia,23.0,195,-,-,-,-,-,-,-,-,-,-,-
22.0,Kržić Janez Janž,MB,185708,2022,Slovenia,Slovenia,19.0,202,-,-,-,-,-,-,-,-,-,-,-
23.0,Okroglic Jure,OH,151399,2022,Slovenia,Slovenia,26.0,190,-,-,-,-,-,-,-,-,-,-,-
,MARK LEBEDEW,COACH,N/A,2022,Slovenia,,,,,,,,,,,,,,
2.0,Russell Aaron,OH,132624,2022,USA,USA,29.0,205,197,13.13,162,50.00%,10.80,14,18.42%,0.93,21,10.88%,1.40
