No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
22.0,Zhang Jingyin,OH,168271,2022,China,China,23.0,207,154,15.40,140,53.44%,14.00,5,10.42%,0.50,9,7.26%,0.90
23.0,Wu Pengzhi,O,181102,2022,China,China,27.0,200,-,-,-,-,-,-,-,-,-,-,-
24.0,Qi Jiahao,L,162470,2022,China,China,23.0,183,-,-,-,-,-,-,-,-,-,-,-
25.0,Zhai Dejun,OH,174159,2022,China,China,23.0,195,-,-,-,-,-,-,-,-,-,-,-
,SHENG WU,COACH,N/A,2022,China,,,,,,,,,,,,,,
1.0,Chinenyeze Barthélémy,MB,152494,2022,France,France,25.0,204,102,7.29,75,66.96%,5.36,20,19.61%,1.43,7,6.31%,0.50
2.0,Grebennikov Jenia,L,119792,2022,France,France,32.0,188,0,0.00,0,-,-,0,-,-,0,-,-
3.0,Corre Raphaël,S,119791,2022,France,France,33.0,196,6,0.86,1,50.00%,0.14,1,14.29%,0.14,4,9.52%,0.57
4.0,Patry Jean,O,142694,2022,France,France,26.0,207,136,9.71,115,48.12%,8.21,10,21.74%,0.71,11,8.73%,0.79
5.0,Mouiel Jérémie,L,142691,2022,France,France,27.0,176,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Toniutti Benjamin,S,119804,2022,France,France,33.0,183,1,0.10,0,0.00%,0.00,1,5.56%,0.10,0,0.00%,0.00
7.0,Tillie Kevin,OH,124518,2022,France,France,32.0,200,2,0.50,2,28.57%,0.50,0,0.00%,0.00,0,0.00%,0.00
9.0,Ngapeth Earvin,OH,119800,2022,France,France,32.0,194,138,9.86,116,53.21%,8.29,8,19.05%,0.57,14,9.03%,1.00
11.0,Brizard Antoine,S,136851,2022,France,France,28.0,196,41,3.73,17,60.71%,1.55,9,20.00%,0.82,15,12.61%,1.36
12.0,Boyer Stephen,O,142710,2022,France,France,26.0,196,104,7.43,89,51.15%,6.36,9,24.32%,0.64,6,6.67%,0.43
13.0,Ramon Luca,L,164029,2022,France,France,22.0,186,-,-,-,-,-,-,-,-,-,-,-
14.0,Le Goff Nicolas,MB,125073,2022,France,France,31.0,206,55,5.50,34,51.52%,3.40,18,26.87%,1.80,3,4.17%,0.30
15.0,Henry Médéric,MB,136855,2022,France,France,27.0,212,14,1.00,10,41.67%,0.71,4,11.43%,0.29,0,0.00%,0.00
16.0,Bultor Daryl,MB,142677,2022,France,France,27.0,197,-,-,-,-,-,-,-,-,-,-,-
17.0,Clevenot Trevor,OH,132948,2022,France,France,28.0,199,86,8.60,72,51.06%,7.20,4,10.81%,0.40,10,8.55%,1.00
19.0,Louati Yacine,OH,120735,2022,France,France,31.0,198,85,6.07,69,44.81%,4.93,8,13.56%,0.57,8,6.67%,0.57
20.0,Diez Benjamin,L,152506,2022,France,France,24.0,183,0,0.00,0,-,-,0,-,-,0,-,-
21.0,Faure Théo,O,163309,2022,France,France,23.0,202,-,-,-,-,-,-,-,-,-,-,-
22.0,Derouillon Pierre,OH,152531,2022,France,France,23.0,197,17,1.21,15,48.39%,1.07,0,0.00%,0.00,2,10.53%,0.14
23.0,Basic Luka,OH,142659,2022,France,France,28.0,198,-,-,-,-,-,-,-,-,-,-,-
24.0,Gueye Mousse,MB,181197,2022,France,France,26.0,198,0,-,0,-,-,0,-,-,0,-,-
25.0,Jouffroy Quentin,MB,136856,2022,France,France,29.0,202,47,3.36,25,55.56%,1.79,9,14.52%,0.64,13,11.11%,0.93
26.0,Rebeyrol François,OH,164022,2022,France,France,23.0,200,-,-,-,-,-,-,-,-,-,-,-
27.0,Lawani Ibrahim,O,183115,2022,France,France,21.0,198,-,-,-,-,-,-,-,-,-,-,-
28.0,Gill Thomas,S,164020,2022,France,France,22.0,196,-,-,-,-,-,-,-,-,-,-,-
,Andrea GIANI,COACH,N/A,2022,France,,,,,,,,,,,,,,
1.0,Fromm Christian,OH,119779,2022,Germany,Germany,32.0,204,130,11.82,107,42.29%,9.73,15,29.41%,1.36,8,5.84%,0.73
2.0,Tille Johannes,S,152469,2022,Germany,Germany,25.0,186,7,1.00,1,50.00%,0.14,3,27.27%,0.43,3,6.67%,0.43
3.0,Schott Ruben,OH,136441,2022,Germany,Germany,28.0,193,-,-,-,-,-,-,-,-,-,-,-
4.0,Graven Leonard,L,182291,2022,Germany,Germany,18.0,180,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Reichert Moritz,OH,139386,2022,Germany,Germany,28.0,194,90,8.18,77,49.36%,7.00,5,16.67%,0.45,8,7.27%,0.73
10.0,Zenger Julian,L,152470,2022,Germany,Germany,25.0,190,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Kampa Lukas,S,116575,2022,Germany,Germany,36.0,196,-,-,-,-,-,-,-,-,-,-,-
14.0,Karlitzek Moritz,OH,156597,2022,Germany,Germany,26.0,191,-,-,-,-,-,-,-,-,-,-,-
15.0,Hüther Franz,MB,189255,2022,Germany,Germany,20.0,213,-,-,-,-,-,-,-,-,-,-,-
16.0,Burggräf Eric,S,162788,2022,Germany,Germany,24.0,184,-,-,-,-,-,-,-,-,-,-,-
17.0,Zimmermann Jan,S,136442,2022,Germany,Germany,30.0,190,9,0.82,4,28.57%,0.36,1,2.70%,0.09,4,3.15%,0.36
18.0,Krage Florian,MB,162790,2022,Germany,Germany,26.0,203,50,4.55,36,56.25%,3.27,10,15.38%,0.91,4,3.92%,0.36
19.0,Röhrs Erik,OH,174660,2022,Germany,Germany,21.0,194,2,1.00,0,0.00%,0.00,0,-,-,2,25.00%,1.00
20.0,Weber Linus,O,162082,2022,Germany,Germany,23.0,203,124,15.50,106,45.49%,13.25,10,18.87%,1.25,8,8.42%,1.00
21.0,Krick Tobias,MB,152349,2022,Germany,Germany,24.0,210,77,7.00,55,55.00%,5.00,17,20.73%,1.55,5,7.14%,0.45
22.0,Brand Tobias,OH,163592,2022,Germany,Germany,24.0,193,59,5.36,54,39.42%,4.91,4,11.43%,0.36,1,1.03%,0.09
23.0,Goralik Yannick,MB,183112,2022,Germany,Germany,25.0,206,0,-,0,-,-,0,-,-,0,-,-
24.0,Malescha Daniel,O,156598,2022,Germany,Germany,28.0,203,-,-,-,-,-,-,-,-,-,-,-
25.0,Maase Lukas,MB,152352,2022,Germany,Germany,24.0,208,94,10.44,70,44.87%,7.78,18,18.00%,2.00,6,4.29%,0.67
27.0,Eckardt Moritz,L,174663,2022,Germany,Germany,21.0,183,-,-,-,-,-,-,-,-,-,-,-
29.0,Dervisaj Leon,S,176931,2022,Germany,Germany,26.0,194,1,0.25,1,100%,0.25,0,0.00%,0.00,0,0.00%,0.00
32.0,Ferch Iven,MB,152751,2022,Germany,Germany,25.0,208,1,0.09,1,100%,0.09,0,0.00%,0.00,0,0.00%,0.00
38.0,Peter Tim,OH,152713,2022,Germany,Germany,25.0,197,9,0.82,7,53.85%,0.64,0,0.00%,0.00,2,9.09%,0.18
40.0,Schulz Max,OH,174640,2022,Germany,Germany,20.0,200,13,1.62,10,38.46%,1.25,3,25.00%,0.38,0,0.00%,0.00
44.0,Gallas Simon,O,181283,2022,Germany,Germany,21.0,202,-,-,-,-,-,-,-,-,-,-,-
,Michał WINIARSKI,COACH,N/A,2022,Germany,,,,,,,,,,,,,,
1.0,Jelveh Ghaziani Mahdi,MB,163173,2022,Iran,Iran,21.0,208,57,4.38,32,54.24%,2.46,20,26.67%,1.54,5,4.10%,0.38
2.0,Ebadipour Ghara H. Milad,OH,136751,2022,Iran,Iran,29.0,196,146,11.23,114,48.10%,8.77,14,36.84%,1.08,18,10.65%,1.38
3.0,Abedini Reza,MB,150817,2022,Iran,Iran,31.0,203,5,1.67,2,50.00%,0.67,2,15.38%,0.67,1,9.09%,0.33
5.0,Toukhteh Amir Hossein,MB,163179,2022,Iran,Iran,21.0,203,70,5.38,52,61.18%,4.00,8,12.50%,0.62,10,6.58%,0.77
7.0,Mosaferdashliboroun Esmaeil,OH,152741,2022,Iran,Iran,25.0,192,3,0.38,2,40.00%,0.25,1,33.33%,0.12,0,0.00%,0.00
8.0,Hazratpourtalatappeh Mohammadreza,L,163176,2022,Iran,Iran,23.0,187,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Moazzen Mohammadreza,L,153535,2022,Iran,Iran,31.0,175,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Kazemi Saber,O,164188,2022,Iran,Iran,24.0,205,11,2.75,7,28.00%,1.75,0,0.00%,0.00,4,21.05%,1.00
12.0,Mirzajanpour M. Mojtaba,OH,124251,2022,Iran,Iran,31.0,205,-,-,-,-,-,-,-,-,-,-,-
13.0,Ramezani Ali,S,152753,2022,Iran,Iran,24.0,200,2,0.25,1,33.33%,0.12,0,0.00%,0.00,1,6.67%,0.12
14.0,Salehi Meisam,OH,162557,2022,Iran,Iran,24.0,198,-,-,-,-,-,-,-,-,-,-,-
15.0,Mojarad Aliasghar,MB,152743,2022,Iran,Iran,25.0,205,-,-,-,-,-,-,-,-,-,-,-
16.0,Gholipour Gholchi Abolfazl,L,132534,2022,Iran,Iran,30.0,178,0,-,0,-,-,0,-,-,0,-,-
17.0,Esmaeilnezhad Amin,O,153539,2022,Iran,Iran,26.0,203,215,16.54,190,54.13%,14.62,12,19.67%,0.92,13,7.43%,1.00
18.0,Vadi Mohammad Taher,S,119750,2022,Iran,Iran,33.0,194,17,1.31,8,61.54%,0.62,6,15.79%,0.46,3,2.11%,0.23
19.0,Daneshdoust Ehsan,OH,163174,2022,Iran,Iran,23.0,192,1,0.20,1,100%,0.20,0,-,-,0,-,-
20.0,Yali Porya,O,152762,2022,Iran,Iran,24.0,209,-,-,-,-,-,-,-,-,-,-,-
21.0,Sarlak Amir Reza,MB,174560,2022,Iran,Iran,21.0,201,7,0.78,5,55.56%,0.56,2,16.67%,0.22,0,0.00%,0.00
22.0,Esfandiar Amirhossein,OH,152752,2022,Iran,Iran,24.0,209,131,10.08,101,49.27%,7.77,14,24.14%,1.08,16,12.03%,1.23
23.0,Saadat Bardia,O,168551,2022,Iran,Iran,20.0,205,5,0.56,4,50.00%,0.44,0,0.00%,0.00,1,25.00%,0.11
24.0,Karimisouchelmaei Javad,S,152755,2022,Iran,Iran,25.0,204,-,-,-,-,-,-,-,-,-,-,-
25.0,Pazhooman Fazel,S,189118,2022,Iran,Iran,29.0,204,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
26.0,Malakisorkhi Mehrab,MB,189175,2022,Iran,Iran,24.0,206,6,0.46,5,50.00%,0.38,0,0.00%,0.00,1,8.33%,0.08
30.0,Farhadi Amir Hassan,OH,182187,2022,Iran,Iran,25.0,202,-,-,-,-,-,-,-,-,-,-,-
49.0,Sharifi Morteza,OH,152742,2022,Iran,Iran,23.0,193,50,3.85,40,54.79%,3.08,3,18.75%,0.23,7,11.86%,0.54
,Behrouz ATAEI NOURI,COACH,N/A,2022,Iran,,,,,,,,,,,,,,
1.0,Pinali Giulio,O,162518,2022,Italy,Italy,25.0,199,29,3.62,26,50.00%,3.25,1,7.14%,0.12,2,8.00%,0.25
2.0,Ricci Fabio,MB,141638,2022,Italy,Italy,28.0,204,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
3.0,Recine Francesco,OH,163033,2022,Italy,Italy,24.0,186,40,5.71,36,45.00%,5.14,3,15.00%,0.43,1,1.69%,0.14
4.0,Cavuto Oreste,OH,152492,2022,Italy,Italy,26.0,196,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Michieletto Alessandro,OH,171191,2022,Italy,Italy,21.0,205,120,10.91,100,48.54%,9.09,10,22.73%,0.91,10,6.58%,0.91
6.0,Giannelli Simone,S,144005,2022,Italy,Italy,26.0,200,64,4.27,29,58.00%,1.93,23,26.74%,1.53,12,5.63%,0.80
7.0,Balaso Fabio,L,150436,2022,Italy,Italy,27.0,178,0,0.00,0,-,-,0,-,-,0,-,-
8.0,Sbertoli Riccardo,S,152370,2022,Italy,Italy,24.0,188,1,0.09,0,-,-,1,14.29%,0.09,0,0.00%,0.00
9.0,Zaytsev Ivan,OH,120511,2022,Italy,Italy,34.0,204,34,4.86,31,48.44%,4.43,2,18.18%,0.29,1,3.33%,0.14
10.0,Falaschi Marco,S,115843,2022,Italy,Italy,35.0,188,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
11.0,Gardini Davide,OH,152422,2022,Italy,Italy,24.0,205,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
12.0,Bottolo Mattia,OH,163447,2022,Italy,Italy,23.0,196,59,3.93,45,41.67%,3.00,5,17.24%,0.33,9,11.84%,0.60
13.0,Cortesia Lorenzo,MB,163028,2022,Italy,Italy,23.0,198,12,1.09,10,47.62%,0.91,2,12.50%,0.18,0,0.00%,0.00
14.0,Galassi Gianluca,MB,152408,2022,Italy,Italy,25.0,201,90,6.00,60,57.69%,4.00,21,21.21%,1.40,9,7.69%,0.60
15.0,Lavia Daniele,OH,153200,2022,Italy,Italy,23.0,200,148,13.45,125,49.41%,11.36,14,26.92%,1.27,9,6.04%,0.82
16.0,Romanò Yuri,O,162520,2022,Italy,Italy,25.0,201,144,9.60,120,46.51%,8.00,12,20.34%,0.80,12,8.76%,0.80
17.0,Anzani Simone,MB,124865,2022,Italy,Italy,31.0,204,53,4.82,32,62.75%,2.91,20,26.67%,1.82,1,1.15%,0.09
18.0,Gironi Fabrizio,OH,163032,2022,Italy,Italy,23.0,200,0,-,0,-,-,0,-,-,0,-,-
19.0,Russo Roberto,MB,152405,2022,Italy,Italy,26.0,207,34,4.86,22,64.71%,3.14,10,25.00%,1.43,2,4.00%,0.29
20.0,Porro Paolo,S,172961,2022,Italy,Italy,21.0,185,-,-,-,-,-,-,-,-,-,-,-
21.0,Piccinelli Alessandro,L,152412,2022,Italy,Italy,26.0,189,0,0.00,0,-,-,0,-,-,0,-,-
22.0,Stefani Tommaso,O,172965,2022,Italy,Italy,21.0,210,-,-,-,-,-,-,-,-,-,-,-
24.0,Scanferla Leonardo,L,181128,2022,Italy,Italy,24.0,184,0,0.00,0,-,-,0,-,-,0,-,-
25.0,Vitelli Marco,MB,150435,2022,Italy,Italy,26.0,203,13,3.25,8,50.00%,2.00,2,8.70%,0.50,3,10.00%,0.75
30.0,Mosca Leandro Ausibio,MB,174074,2022,Italy,Italy,22.0,208,14,2.33,9,75.00%,1.50,5,25.00%,0.83,0,0.00%,0.00
,FERDINANDO DE GIORGI,COACH,N/A,2022,Italy,,,,,,,,,,,,,,
1.0,Nishida Yuji,O,163519,2022,Japan,Japan,23.0,187,201,15.46,162,54.92%,12.46,10,15.87%,0.77,29,18.24%,2.23
2.0,Onodera Taishi,MB,142565,2022,Japan,Japan,27.0,200,57,4.38,43,58.90%,3.31,9,13.85%,0.69,5,3.82%,0.38
3.0,Fukatsu Akihiro,S,118822,2022,Japan,Japan,35.0,183,-,-,-,-,-,-,-,-,-,-,-
4.0,Otake Issei,O,142575,2022,Japan,Japan,27.0,202,-,-,-,-,-,-,-,-,-,-,-
5.0,Otsuka Tatsunori,OH,163516,2022,Japan,Japan,22.0,194,68,5.23,65,45.14%,5.00,1,4.17%,0.08,2,2.74%,0.15
6.0,Yamauchi Akihiro,MB,146409,2022,Japan,Japan,29.0,204,76,5.85,62,56.36%,4.77,10,10.42%,0.77,4,2.74%,0.31
7.0,Takanashi Kenta,OH,153365,2022,Japan,Japan,26.0,190,38,4.22,35,46.67%,3.89,3,14.29%,0.33,0,0.00%,0.00
8.0,Sekita Masahiro,S,133009,2022,Japan,Japan,29.0,175,8,0.62,4,57.14%,0.31,1,2.44%,0.08,3,2.33%,0.23
9.0,Oya Masaki,S,142570,2022,Japan,Japan,27.0,178,4,0.44,3,60.00%,0.33,1,6.25%,0.11,0,0.00%,0.00
10.0,Takahashi Kentaro,MB,142561,2022,Japan,Japan,28.0,202,42,4.67,31,70.45%,3.44,11,20.00%,1.22,0,0.00%,0.00
11.0,Tomita Shoma,OH,178761,2022,Japan,Japan,25.0,190,4,0.50,4,22.22%,0.50,0,0.00%,0.00,0,0.00%,0.00
12.0,Takahashi Ran,OH,178762,2022,Japan,Japan,21.0,188,78,6.00,69,46.00%,5.31,1,3.12%,0.08,8,6.50%,0.62
13.0,Ogawa Tomohiro,L,180990,2022,Japan,Japan,26.0,176,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Ishikawa Yuki,OH,142568,2022,Japan,Japan,27.0,191,164,13.67,122,49.19%,10.17,13,22.41%,1.08,29,17.37%,2.42
16.0,Miyaura Kento,O,163038,2022,Japan,Japan,24.0,190,43,4.78,39,46.43%,4.33,2,11.11%,0.22,2,5.13%,0.22
17.0,Yamazaki Akito,OH,189192,2022,Japan,Japan,25.0,190,-,-,-,-,-,-,-,-,-,-,-
18.0,Nakamoto Kenyu,OH,152593,2022,Japan,Japan,25.0,187,-,-,-,-,-,-,-,-,-,-,-
20.0,Yamamoto Tomohiro,L,172893,2022,Japan,Japan,28.0,171,0,0.00,0,-,-,0,-,-,0,-,-
21.0,Eiro Motoki,S,142562,2022,Japan,Japan,26.0,192,4,1.00,3,60.00%,0.75,1,9.09%,0.25,0,0.00%,0.00
22.0,Higuchi Yuki,OH,153359,2022,Japan,Japan,26.0,191,-,-,-,-,-,-,-,-,-,-,-
24.0,Takahashi Kazuyuki,L,189038,2022,Japan,Japan,23.0,170,-,-,-,-,-,-,-,-,-,-,-
26.0,Murayama Go,MB,189037,2022,Japan,Japan,24.0,192,25,1.92,19,59.38%,1.46,3,12.50%,0.23,3,7.32%,0.23
30.0,Evbade-Dan Larry Ik,MB,189039,2022,Japan,Japan,22.0,195,-,-,-,-,-,-,-,-,-,-,-
34.0,Kai Masato,OH,189064,2022,Japan,Japan,19.0,200,-,-,-,-,-,-,-,-,-,-,-
36.0,Komiya Yuichiro,MB,150729,2022,Japan,Japan,30.0,193,-,-,-,-,-,-,-,-,-,-,-
,Philippe BLAIN,COACH,N/A,2022,Japan,,,,,,,,,,,,,,
1.0,Held Markus,S,181284,2022,Netherlands,Netherlands,22.0,187,-,-,-,-,-,-,-,-,-,-,-
2.0,Keemink Wessel,S,141546,2022,Netherlands,Netherlands,29.0,197,20,1.54,13,61.90%,1.00,5,11.11%,0.38,2,1.43%,0.15
3.0,Van Garderen Maarten,OH,139929,2022,Netherlands,Netherlands,33.0,200,37,4.11,31,37.80%,3.44,5,26.32%,0.56,1,2.22%,0.11
4.0,Ter Horst Thijs,OH,137345,2022,Netherlands,Netherlands,31.0,204,78,6.50,66,51.16%,5.50,7,24.14%,0.58,5,7.94%,0.42
5.0,van Der Ent Cornelis Luuc,MB,169921,2022,Netherlands,Netherlands,24.0,208,11,0.85,3,23.08%,0.23,5,16.67%,0.38,3,7.32%,0.23
6.0,Wijkstra Jasper,OH,184894,2022,Netherlands,Netherlands,20.0,205,-,-,-,-,-,-,-,-,-,-,-
7.0,Jorna Gijs,OH,131980,2022,Netherlands,Netherlands,33.0,196,47,3.62,39,37.50%,3.00,4,20.00%,0.31,4,4.12%,0.31
8.0,Plak Fabian,MB,156678,2022,Netherlands,Netherlands,25.0,198,85,6.54,57,64.77%,4.38,19,19.59%,1.46,9,7.38%,0.69
9.0,Ottevanger Steven,L,176460,2022,Netherlands,Netherlands,28.0,183,0,-,0,-,-,0,-,-,0,-,-
10.0,van Tilburg Stijn,O,169923,2022,Netherlands,Netherlands,26.0,203,19,1.46,18,45.00%,1.38,1,12.50%,0.08,0,0.00%,0.00
11.0,Brilhuis Martijn,O,181318,2022,Netherlands,Netherlands,22.0,203,-,-,-,-,-,-,-,-,-,-,-
12.0,Tuinstra Bennie Junior,OH,170436,2022,Netherlands,Netherlands,22.0,200,122,9.38,99,44.00%,7.62,8,17.39%,0.62,15,10.27%,1.15
13.0,Bleeker Mats,L,184896,2022,Netherlands,Netherlands,24.0,180,0,-,0,-,-,0,-,-,0,-,-
14.0,Abdel-Aziz Nimir,O,137498,2022,Netherlands,Netherlands,31.0,201,247,19.00,207,50.49%,15.92,10,18.52%,0.77,30,17.14%,2.31
15.0,van Solkema Gijs,S,164837,2022,Netherlands,Netherlands,24.0,193,1,0.12,0,0.00%,0.00,1,14.29%,0.12,0,0.00%,0.00
17.0,Parkinson Michael,MB,137337,2022,Netherlands,Netherlands,31.0,203,17,1.31,13,61.90%,1.00,2,9.52%,0.15,2,6.45%,0.15
18.0,Andringa Robbert,L,121992,2022,Netherlands,Netherlands,32.0,192,0,0.00,0,-,-,0,-,-,0,-,-
19.0,de Weijer Freek,S,162642,2022,Netherlands,Netherlands,27.0,191,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
20.0,Bak Yannick,OH,181317,2022,Netherlands,Netherlands,21.0,198,-,-,-,-,-,-,-,-,-,-,-
21.0,Berkhout Joris,S,153711,2022,Netherlands,Netherlands,23.0,198,-,-,-,-,-,-,-,-,-,-,-
22.0,Wiltenburg Twan,MB,150703,2022,Netherlands,Netherlands,26.0,205,43,3.31,20,47.62%,1.54,19,21.59%,1.46,4,3.64%,0.31
23.0,Boekhoudt Robin,MB,184361,2022,Netherlands,Netherlands,22.0,205,-,-,-,-,-,-,-,-,-,-,-
24.0,Hofman Ricardo,O,157237,2022,Netherlands,Netherlands,24.0,199,-,-,-,-,-,-,-,-,-,-,-
25.0,Korenblek Siebe,MB,188782,2022,Netherlands,Netherlands,21.0,215,-,-,-,-,-,-,-,-,-,-,-
26.0,Meijs Silvester,S,188784,2022,Netherlands,Netherlands,21.0,202,-,-,-,-,-,-,-,-,-,-,-
,Roberto Piazza,COACH,N/A,2022,Netherlands,,,,,,,,,,,,,,
1.0,Lipinski Bartlomiej,OH,153394,2022,Poland,Poland,26.0,201,12,3.00,11,39.29%,2.75,0,0.00%,0.00,1,7.14%,0.25
2.0,Muzaj Maciej,O,156531,2022,Poland,Poland,28.0,208,23,5.75,21,50.00%,5.25,2,18.18%,0.50,0,0.00%,0.00
3.0,Popiwczak Jakub,L,153388,2022,Poland,Poland,26.0,180,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Kozub Lukasz,S,152872,2022,Poland,Poland,25.0,186,2,0.50,1,100%,0.25,1,20.00%,0.25,0,0.00%,0.00
5.0,Kaczmarek Lukasz,O,162105,2022,Poland,Poland,28.0,204,39,3.55,33,48.53%,3.00,3,25.00%,0.27,3,5.77%,0.27
6.0,Kurek Bartosz,O,115806,2022,Poland,Poland,34.0,205,134,12.18,111,51.87%,10.09,10,30.30%,0.91,13,11.30%,1.18
7.0,Klos Karol,MB,118618,2022,Poland,Poland,33.0,201,64,4.27,39,69.64%,2.60,21,36.84%,1.40,4,5.00%,0.27
9.0,Leon Venero Wilfredo,OH,119646,2022,Poland,Poland,29.0,202,-,-,-,-,-,-,-,-,-,-,-
10.0,Bednorz Bartosz,OH,150742,2022,Poland,Poland,28.0,201,25,3.57,23,56.10%,3.29,1,33.33%,0.14,1,4.00%,0.14
12.0,Lomacz Grzegorz,S,115794,2022,Poland,Poland,35.0,187,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
13.0,Szymura Rafal,OH,142678,2022,Poland,Poland,27.0,196,13,3.25,13,43.33%,3.25,0,0.00%,0.00,0,0.00%,0.00
14.0,Sliwka Aleksander,OH,142679,2022,Poland,Poland,27.0,196,68,6.18,59,50.86%,5.36,4,16.67%,0.36,5,5.68%,0.45
15.0,Kochanowski Jakub,MB,152870,2022,Poland,Poland,25.0,199,84,5.60,54,59.34%,3.60,19,21.84%,1.27,11,7.59%,0.73
16.0,Semeniuk Kamil,OH,153395,2022,Poland,Poland,26.0,195,104,9.45,86,48.31%,7.82,9,25.71%,0.82,9,7.56%,0.82
17.0,Zatorski Pawel,L,118614,2022,Poland,Poland,32.0,184,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Kwolek Bartosz,OH,152873,2022,Poland,Poland,25.0,192,43,5.38,37,51.39%,4.62,2,10.53%,0.25,4,6.25%,0.50
19.0,Janusz Marcin,S,165942,2022,Poland,Poland,28.0,196,8,0.73,1,33.33%,0.09,4,12.90%,0.36,3,3.90%,0.27
20.0,Bieniek Mateusz,MB,150734,2022,Poland,Poland,28.0,210,83,7.55,53,62.35%,4.82,9,13.43%,0.82,21,13.73%,1.91
21.0,Fornal Tomasz,OH,152866,2022,Poland,Poland,25.0,198,95,6.33,77,53.10%,5.13,7,17.07%,0.47,11,11.83%,0.73
22.0,Urbanowicz Karol,MB,183851,2022,Poland,Poland,22.0,201,4,1.00,3,37.50%,0.75,0,0.00%,0.00,1,16.67%,0.25
23.0,Butryn Karol,O,181100,2022,Poland,Poland,29.0,194,54,4.91,44,60.27%,4.00,4,21.05%,0.36,6,8.82%,0.55
24.0,Szymura Kamil,L,164127,2022,Poland,Poland,24.0,184,0,0.00,0,-,-,0,-,-,0,-,-
