No.,Player Name,Position,Player_ID,Year,Country_ID,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
23.0,Carle Timothée,OH,142686,2021,5824,France,26.0,195cm,-,-,-,-,-,-,-,-,-,-,-
25.0,Jouffroy Quentin,MB,136856,2021,5824,France,28.0,202cm,-,-,-,-,-,-,-,-,-,-,-
,Andrea Giani,COACH,N/A,2021,5824,,,,,,,,,,,,,,
1.0,Fromm Christian,OH,119779,2021,5825,Germany,31.0,204cm,71,4.73,66,44.00%,4.40,2,8.70%,0.13,3,4.55%,0.20
2.0,Tille Johannes,S,152469,2021,5825,Germany,24.0,186cm,-,-,-,-,-,-,-,-,-,-,-
3.0,Kaliberda Denys,OH,119775,2021,5825,Germany,31.0,193cm,54,4.15,47,45.63%,3.62,5,26.32%,0.38,2,2.50%,0.15
5.0,Reichert Moritz,OH,139386,2021,5825,Germany,27.0,194cm,89,5.93,78,39.39%,5.20,7,21.88%,0.47,4,3.05%,0.27
6.0,Graven Leonard,L,182291,2021,5825,Germany,17.0,180cm,-,-,-,-,-,-,-,-,-,-,-
11.0,Kampa Lukas,S,116575,2021,5825,Germany,35.0,196cm,-,-,-,-,-,-,-,-,-,-,-
12.0,Brehme Anton,MB,162081,2021,5825,Germany,22.0,206cm,-,-,-,-,-,-,-,-,-,-,-
13.0,Schott Ruben,OH,136441,2021,5825,Germany,27.0,193cm,106,7.07,85,40.67%,5.67,3,5.77%,0.20,18,10.11%,1.20
18.0,Krage Florian,MB,162790,2021,5825,Germany,25.0,203cm,74,5.69,50,55.56%,3.85,20,22.99%,1.54,4,3.12%,0.31
20.0,Weber Linus,O,162082,2021,5825,Germany,22.0,203cm,154,11.85,128,45.07%,9.85,14,25.00%,1.08,12,8.51%,0.92
21.0,Krick Tobias,MB,152349,2021,5825,Germany,23.0,210cm,115,8.21,83,63.85%,5.93,28,22.58%,2.00,4,3.39%,0.29
22.0,Brand Tobias,OH,163592,2021,5825,Germany,23.0,193cm,-,-,-,-,-,-,-,-,-,-,-
25.0,Maase Lukas,MB,152352,2021,5825,Germany,23.0,208cm,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,-,-
31.0,Böhme Yan,O,184322,2021,5825,Germany,24.0,203cm,-,-,-,-,-,-,-,-,-,-,-
,Michał Winiarski,COACH,N/A,2021,5825,,,,,,,,,,,,,,
1.0,Jelveh Ghaziani Mahdi,MB,163173,2021,5826,Iran,20.0,208cm,-,-,-,-,-,-,-,-,-,-,-
6.0,Mousavi Eraghi Seyed Mohammad,MB,118827,2021,5826,Iran,34.0,203cm,103,7.36,66,54.55%,4.71,30,27.78%,2.14,7,5.65%,0.50
8.0,Hazratpourtalatappeh Mohammadreza,L,163176,2021,5826,Iran,22.0,187cm,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Moazzen Mohammadreza,L,153535,2021,5826,Iran,30.0,175cm,-,-,-,-,-,-,-,-,-,-,-
12.0,Esfandiar Amirhossein,OH,152752,2021,5826,Iran,23.0,209cm,77,5.50,60,47.62%,4.29,5,14.29%,0.36,12,10.81%,0.86
13.0,Ramezani Ali,S,152753,2021,5826,Iran,23.0,200cm,-,-,-,-,-,-,-,-,-,-,-
19.0,Hossein Khanzadeh Firouzjah Poriya,OH,182470,2021,5826,Iran,17.0,198cm,-,-,-,-,-,-,-,-,-,-,-
20.0,Homayonfarmanesh Shahrooz,OH,123413,2021,5826,Iran,32.0,192cm,-,-,-,-,-,-,-,-,-,-,-
22.0,Afshin Far Armin,OH,189602,2021,5826,Iran,23.0,207cm,-,-,-,-,-,-,-,-,-,-,-
23.0,Saadat Bardia,O,168551,2021,5826,Iran,19.0,205cm,75,5.36,68,50.37%,4.86,2,7.69%,0.14,5,9.09%,0.36
24.0,Karimisouchelmaei Javad,S,152755,2021,5826,Iran,24.0,204cm,8,1.33,1,20.00%,0.17,4,57.14%,0.67,3,12.00%,0.50
27.0,Valizadeh Mohammad,MB,174373,2021,5826,Iran,20.0,204cm,-,-,-,-,-,-,-,-,-,-,-
49.0,Sharifi Morteza,OH,152742,2021,5826,Iran,22.0,193cm,26,2.36,21,42.00%,1.91,2,15.38%,0.18,3,10.34%,0.27
77.0,Daneshdoust Ehsan,OH,163174,2021,5826,Iran,22.0,192cm,-,-,-,-,-,-,-,-,-,-,-
,Behrouz Ataei Nouri,COACH,N/A,2021,5826,,,,,,,,,,,,,,
5.0,Michieletto Alessandro,OH,171191,2021,5827,Italy,20.0,205cm,181,12.07,152,50.00%,10.13,19,36.54%,1.27,10,5.75%,0.67
6.0,Giannelli Simone,S,144005,2021,5827,Italy,25.0,200cm,-,-,-,-,-,-,-,-,-,-,-
7.0,Balaso Fabio,L,150436,2021,5827,Italy,26.0,178cm,0,0.00,0,-,-,0,-,-,0,-,-
8.0,Sbertoli Riccardo,S,152370,2021,5827,Italy,23.0,188cm,18,1.20,7,38.89%,0.47,6,10.17%,0.40,5,3.85%,0.33
10.0,Scanferla Leonardo,L,181128,2021,5827,Italy,23.0,184cm,0,-,0,-,-,0,-,-,0,-,-
12.0,Bottolo Mattia,OH,163447,2021,5827,Italy,22.0,196cm,89,5.93,68,35.79%,4.53,10,27.03%,0.67,11,10.00%,0.73
14.0,Galassi Gianluca,MB,152408,2021,5827,Italy,24.0,201cm,64,8.00,49,71.01%,6.12,11,28.95%,1.38,4,4.88%,0.50
15.0,Lavia Daniele,OH,153200,2021,5827,Italy,22.0,200cm,-,-,-,-,-,-,-,-,-,-,-
16.0,Romanò Yuri,O,162520,2021,5827,Italy,24.0,201cm,-,-,-,-,-,-,-,-,-,-,-
18.0,Gironi Fabrizio,OH,163032,2021,5827,Italy,22.0,200cm,-,-,-,-,-,-,-,-,-,-,-
19.0,Russo Roberto,MB,152405,2021,5827,Italy,25.0,207cm,-,-,-,-,-,-,-,-,-,-,-
20.0,Rinaldi Tommaso,OH,172962,2021,5827,Italy,20.0,200cm,-,-,-,-,-,-,-,-,-,-,-
28.0,Sanguinetti Giovanni,MB,174076,2021,5827,Italy,21.0,203cm,-,-,-,-,-,-,-,-,-,-,-
30.0,Mosca Leandro Ausibio,MB,174074,2021,5827,Italy,21.0,208cm,69,4.93,47,55.95%,3.36,21,23.08%,1.50,1,0.88%,0.07
,Ferdinando De Giorgi,COACH,N/A,2021,5827,,,,,,,,,,,,,,
